scene_id,title,scene_path,category,scene_kind,runtime,source_type,launch,stats,binary_assets,code_files,uses_external_asset_catalog
car-game,Car Game,escenas_threejs/01_Juegos/car-game,escenas_threejs/01_Juegos,gameplay,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/01_Juegos/car-game/index.html,false
forest-camp-game,Forest Camp Game,escenas_threejs/01_Juegos/forest-camp-game,escenas_threejs/01_Juegos,gameplay,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/01_Juegos/forest-camp-game/bridge.js | escenas_threejs/01_Juegos/forest-camp-game/bush.js | escenas_threejs/01_Juegos/forest-camp-game/campfire.js | escenas_threejs/01_Juegos/forest-camp-game/character.js | escenas_threejs/01_Juegos/forest-camp-game/coin.js | escenas_threejs/01_Juegos/forest-camp-game/dice.js | escenas_threejs/01_Juegos/forest-camp-game/env-settings.js | escenas_threejs/01_Juegos/forest-camp-game/flower.js | escenas_threejs/01_Juegos/forest-camp-game/game.js | escenas_threejs/01_Juegos/forest-camp-game/grass.js | escenas_threejs/01_Juegos/forest-camp-game/grid.js | escenas_threejs/01_Juegos/forest-camp-game/index.html | escenas_threejs/01_Juegos/forest-camp-game/log.js | escenas_threejs/01_Juegos/forest-camp-game/main.js | escenas_threejs/01_Juegos/forest-camp-game/mushroom.js | escenas_threejs/01_Juegos/forest-camp-game/pond.js | escenas_threejs/01_Juegos/forest-camp-game/rock.js | escenas_threejs/01_Juegos/forest-camp-game/scene.js | escenas_threejs/01_Juegos/forest-camp-game/tent.js | escenas_threejs/01_Juegos/forest-camp-game/tile.js | escenas_threejs/01_Juegos/forest-camp-game/tree.js,false
game-3d,3D Game,escenas_threejs/01_Juegos/game-3d,escenas_threejs/01_Juegos,gameplay,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/01_Juegos/game-3d/index.html | escenas_threejs/01_Juegos/game-3d/scene.js,false
platform-game-3d-scene,Platform Game 3D Scene,escenas_threejs/01_Juegos/platform-game-3d-scene,escenas_threejs/01_Juegos,gameplay,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/01_Juegos/platform-game-3d-scene/index.html | escenas_threejs/01_Juegos/platform-game-3d-scene/scene.js,false
scifi-shooter-tech-helmets,Sci-fi Shooter With Tech Helmets,escenas_threejs/01_Juegos/scifi-shooter-tech-helmets,escenas_threejs/01_Juegos,gameplay,web,procedural_code,[object Object],[object Object],,escenas_threejs/01_Juegos/scifi-shooter-tech-helmets/index.html,false
playground-garden,Playground Garden,escenas_threejs/entornos_y_Simulacion/playground-garden,escenas_threejs/entornos_y_Simulacion,simulation,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/entornos_y_Simulacion/playground-garden/bench.js | escenas_threejs/entornos_y_Simulacion/playground-garden/bush.js | escenas_threejs/entornos_y_Simulacion/playground-garden/character.js | escenas_threejs/entornos_y_Simulacion/playground-garden/env-settings.js | escenas_threejs/entornos_y_Simulacion/playground-garden/fence.js | escenas_threejs/entornos_y_Simulacion/playground-garden/flower.js | escenas_threejs/entornos_y_Simulacion/playground-garden/garden.js | escenas_threejs/entornos_y_Simulacion/playground-garden/gui-panel.js | escenas_threejs/entornos_y_Simulacion/playground-garden/index.html | escenas_threejs/entornos_y_Simulacion/playground-garden/interaction-box.js | escenas_threejs/entornos_y_Simulacion/playground-garden/landscape.js | escenas_threejs/entornos_y_Simulacion/playground-garden/road.js | escenas_threejs/entornos_y_Simulacion/playground-garden/scene.js | escenas_threejs/entornos_y_Simulacion/playground-garden/skeleton-animation.js | escenas_threejs/entornos_y_Simulacion/playground-garden/tree-generator.js | escenas_threejs/entornos_y_Simulacion/playground-garden/water.js,false
water-simulation-above-below,Water Simulation Above and Below,escenas_threejs/entornos_y_Simulacion/water-simulation-above-below,escenas_threejs/entornos_y_Simulacion,simulation,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/entornos_y_Simulacion/water-simulation-above-below/index.html | escenas_threejs/entornos_y_Simulacion/water-simulation-above-below/scene.js,false
gpu-terrain-forge,GPU Terrain Forge,escenas_threejs/03_Herramientas_y_Editores/gpu-terrain-forge,escenas_threejs/03_Herramientas_y_Editores,tooling,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/03_Herramientas_y_Editores/gpu-terrain-forge/index.html,false
interactive-3d-skatepark-editor,Interactive 3D Skatepark Editor,escenas_threejs/03_Herramientas_y_Editores/interactive-3d-skatepark-editor,escenas_threejs/03_Herramientas_y_Editores,tooling,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/03_Herramientas_y_Editores/interactive-3d-skatepark-editor/index.html,false
matcap-generator-v25,Matcap Generator v25,escenas_threejs/03_Herramientas_y_Editores/matcap-generator-v25,escenas_threejs/03_Herramientas_y_Editores,tooling,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/03_Herramientas_y_Editores/matcap-generator-v25/index.html | escenas_threejs/03_Herramientas_y_Editores/matcap-generator-v25/scene.js,false
matcap-generator-v28,Matcap Generator v28,escenas_threejs/03_Herramientas_y_Editores/matcap-generator-v28,escenas_threejs/03_Herramientas_y_Editores,tooling,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/03_Herramientas_y_Editores/matcap-generator-v28/index.html | escenas_threejs/03_Herramientas_y_Editores/matcap-generator-v28/scene.js,false
scene-variation-new-content,Scene variation with new content,escenas_threejs/03_Herramientas_y_Editores/scene-variation-new-content,escenas_threejs/03_Herramientas_y_Editores,tooling,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/03_Herramientas_y_Editores/scene-variation-new-content/editor.js | escenas_threejs/03_Herramientas_y_Editores/scene-variation-new-content/game.js | escenas_threejs/03_Herramientas_y_Editores/scene-variation-new-content/index.html | escenas_threejs/03_Herramientas_y_Editores/scene-variation-new-content/levels.js | escenas_threejs/03_Herramientas_y_Editores/scene-variation-new-content/pathfinder.js | escenas_threejs/03_Herramientas_y_Editores/scene-variation-new-content/player.js | escenas_threejs/03_Herramientas_y_Editores/scene-variation-new-content/sceneBuilder.js,false
sunny-block-planner,Sunny Block Planner,escenas_threejs/03_Herramientas_y_Editores/sunny-block-planner,escenas_threejs/03_Herramientas_y_Editores,tooling,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/03_Herramientas_y_Editores/sunny-block-planner/main.js,false
blink-voice-react,Blink Voice React,escenas_threejs/04_Experiencias_Web/blink-voice-react,escenas_threejs/04_Experiencias_Web,web-experience,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/04_Experiencias_Web/blink-voice-react/index.html | escenas_threejs/04_Experiencias_Web/blink-voice-react/scene.js,false
minimalist-3d-business-card,Minimalist 3D Business Card,escenas_threejs/04_Experiencias_Web/minimalist-3d-business-card,escenas_threejs/04_Experiencias_Web,web-experience,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/04_Experiencias_Web/minimalist-3d-business-card/index.html | escenas_threejs/04_Experiencias_Web/minimalist-3d-business-card/scene.js,false
website-3d-digital-oasis,3D Website - The Digital Oasis,escenas_threejs/04_Experiencias_Web/website-3d-digital-oasis,escenas_threejs/04_Experiencias_Web,web-experience,threejs,procedural_code,[object Object],[object Object],,escenas_threejs/04_Experiencias_Web/website-3d-digital-oasis/index.html,false
